id,name,book_id
,本多静六,1
,ジョン・バーニンガム,2
,学研教育出版,3
,ウィリアム・カムクワンバ,5
,ブライアン・ミーラー,5
,花村太郎,6
,デビッド・D・バーンズ,10
,中村光,28
,小野田博一,36
,波頭亮,34
,宮崎正勝,11
,ロバート・A. ハインライン,14
,久米田康治,31
,入間人間,33
,"グスタボ・メルカード,Bスプラウト",32
,皆川亮二,30
,Philip K. Dick,27
,うえお久光,26
,浜岡賢次,25
,ウィンストンチャーチル,24
,内田和成,22
,皆川亮二,20
,舞城王太郎,15
,大暮維人,18
,"森橋ビンゴ,前川かずお",17
,石川雅之,16
