谷川俊太郎
茨木のり子
金子みすゞ
中原中也
吉野弘
萩原朔太郎
大岡信
島崎藤村
最果タヒ
相田みつを
工藤 直子
田村隆一
宮沢賢治
まど・みちお
石川啄木
石垣りん
高村光太郎
長田弘
山村暮鳥
寺山 修司
吉岡実
北原白秋
友部正人
室生犀星
俵万智
鮎川信夫
伊藤比呂美
黒田三郎
夏目漱石
粟津則雄
清岡卓行
北園克衛
井上靖
武者小路実篤
大関松三郎
池澤夏樹
三好達治
与謝野鉄幹
正岡子規
高橋睦郎
新国誠一
北村太郎
種田山頭火
伊東静雄
文月悠光
坂村真民
伊藤整
江國香織
高見順
上田敏
飯島耕一
尾田 栄一郎
鳥山 明
真島ヒロ
三田紀房
うすた京介
冨樫 義博
井上雄彦
和月 伸宏
鈴木央
久世みずき
諫山創
久保 帯人
村田雄介
荒川弘
岸本 斉史
手塚 治虫
小畑 健
東村アキコ
水木しげる
畑健二郎
青山 剛昌
ONE
永井豪
板垣恵介
二ノ宮知子
大久保篤
森田まさのり
原 哲夫
ちばてつや
羽海野チカ
許斐剛
浦沢直樹
大場 つぐみ
ガモウひろし
福本伸行
荒木飛呂彦
さいとう・たかを
石ノ森 章太郎
空知英秋
衛藤ヒロユキ
藤子・F・不二雄
弘兼憲史
大友 克洋
北条 司
あだち充
浅野いにお
矢吹健太朗
末次由紀
久米田康治
秋本治
オニグンソウ
東野 圭吾
宮部 みゆき
伊坂幸太郎
村上春樹
湊 かなえ
森博嗣
恩田陸
有川 浩
江戸川乱歩
乙一
角田 光代
桐野夏生
吉本ばなな
山本 周五郎
司馬遼太郎
坂木司
村上 龍
綾辻 行人
森見 登美彦
石田衣良
重松清
浅田 次郎
辻村 深月
星新一
林真理子
三島 由紀夫
小野不由美
赤川次郎
海堂尊
道尾秀介
吉田修一
吉川英治
三浦 しをん
山本文緒
太宰治
筒井 康隆
中村文則
万城目 学
有栖川有栖
宮本輝
村山由佳
にしかなこ
山崎 豊子
歌野晶午
芥川龍之介
田中芳樹
上遠野浩平
誉田哲也
池波正太郎
又吉 直樹
黒柳 徹子
松下幸之助
乙武洋匡
川端 康成
東川篤哉
森村 誠一
岩崎夏海
養老 孟司
水野敬也
池上彰
ロバート・キヨサキ
さくらももこ
五島 勉
光浦靖子
小松左京
曽野綾子
片山恭一
リリー・フランキー
春山茂雄
鈴木健二
和泉宗章
田村 裕
永六輔
川津祐介
住野よる
谷崎潤一郎
小川菊松
武田徹
坂東眞理子
塩月弥栄子
國弘正雄
江本 孟紀
猿谷要
樋口裕一
大野晋
山口 百恵
J・K・ローリング
ダニエル・スティール
スティーヴン・キング
ジェイムズ・パタースン
ノーラ・ロバーツ
ジョン・グリシャム
チャールズ・ディケンズ
バーバラ・カートランド
アガサ・クリスティ
ウィリアム・シェイクスピア
J・R・R・トールキン
パウロ・コエーリョ
曹雪芹
C・S・ルイス
イーニッド・ブライトン
ケン・フォレット
スーザン・ハドルストン・エジャトン
ジョルジュ・シムノン
レフ・トルストイ
ドクター・スース
リロイ・アッシュビー
ギルバート・パットン
ハロルド・ロビンズ
アストリッド・リンドグレーン
シドニィ・シェルダン
ビアトリクス・ポター
ジェフリー・アーチャー
ディーン・R・クーンツ
ロビン・クック
E・S・ガードナー
クライブ・カッスラー
R・L・スタイン
ロジャー・ハーグリーブス
ルイス・キャロル
ノーマン・ブライドウェル
イアン・フレミング
ミッキー・スピレイン
マイケル・クライトン
エドガー・ライス・バローズ
ブレット・E・キャロル
内田康夫
レックス・スタウト
カール・マイ
エリナー・ヒバート
リチャード・スカーリー
ゼイン・グレイ
ジェームズ・ミッチェナー
